"user_id","game_name","language","age","has_older_device_model","payment_month","total_revenue","new_mrr","new_paid_users","churn_month","churned_revenue","churned_users","back_from_churn_mrr","back_from_churn_users","expansion_mrr","contraction_mrr"
l3sFUsG2qpcnrEzwRnjvtQ==,game 3,ru,15,false,2022-03-01,38.10,38.10,1,,0,0,0,0,0,0
"3iITAz/ADjFv3PDTgTjxSg==",game 3,ru,16,false,2022-03-01,23.76,23.76,1,,0,0,0,0,0,0
Uen3Ap0lnrgWVWJtFCSo7g==,game 3,ru,17,false,2022-03-01,20.79,20.79,1,2022-04-01,20.79,1,0,0,0,0
ZmjMhgyYl6o8iFq964FEWg==,game 3,ru,17,false,2022-03-01,54.60,54.60,1,,0,0,0,0,0,0
"4btLP2zvi8eBV0t08fdkKQ==",game 3,ru,20,false,2022-03-01,17.79,17.79,1,,0,0,0,0,0,0
"75lEf3nSWLSf6GncqhR9gQ==",game 3,ru,22,false,2022-03-01,14.1,14.1,1,,0,0,0,0,0,0
"7SeM1pmnTTTXfhI+x3ldng==",game 3,ru,22,false,2022-03-01,34.74,34.74,1,,0,0,0,0,0,0
"99X4aLWWjAIgmlXjrXQIgg==",game 3,ru,22,false,2022-03-01,16.98,16.98,1,2022-04-01,16.98,1,0,0,0,0
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,ru,23,false,2022-03-01,158.67,158.67,1,,0,0,0,0,0,0
B4b6v6eUHvAVOeAQk6EEiw==,game 3,ru,23,false,2022-03-01,15.3,15.3,1,,0,0,0,0,0,0
T+RA0/fgzbUBLF89D4AEDA==,game 3,ru,23,false,2022-03-01,16.11,16.11,1,,0,0,0,0,0,0
AN9at3LlvDamqXq8dvHD4w==,game 3,ru,24,false,2022-03-01,42.03,42.03,1,,0,0,0,0,0,0
pz7LUOs9i7xgncmHVxQvOw==,game 3,ru,24,false,2022-03-01,36.51,36.51,1,,0,0,0,0,0,0
SyWxmJ+Ha8K2C9UJt8blVA==,game 3,ru,25,false,2022-03-01,55.62,55.62,1,,0,0,0,0,0,0
V7J42heW8l19wiBJ8UpRyw==,game 3,ru,25,false,2022-03-01,49.80,49.80,1,,0,0,0,0,0,0
H44DjZG42orzuBXLai7JkA==,game 3,ru,29,false,2022-03-01,13.32,13.32,1,2022-04-01,13.32,1,0,0,0,0
"7GE5h/3N3lcro3K9T3aujw==",game 3,ru,32,false,2022-03-01,38.52,38.52,1,,0,0,0,0,0,0
Fx9+2aYPOHAS3fdXpLQ9Pg==,game 3,ru,35,false,2022-03-01,12.54,12.54,1,2022-04-01,12.54,1,0,0,0,0
prNQwR2IPPsvGpFgOpcGaQ==,game 3,uk,14,false,2022-03-01,15.66,15.66,1,2022-04-01,15.66,1,0,0,0,0
b3TBQFxyCxxypmPajF+jXw==,game 3,uk,15,true,2022-03-01,13.98,13.98,1,,0,0,0,0,0,0
HxWcXHURvvtOJkrXAcDxQg==,game 3,uk,15,false,2022-03-01,66.18,66.18,1,,0,0,0,0,0,0
Y/nf8iBu/UCaNAuIRRjVwA==,game 3,uk,15,false,2022-03-01,24.27,24.27,1,,0,0,0,0,0,0
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,uk,16,false,2022-03-01,17.13,17.13,1,,0,0,0,0,0,0
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,uk,16,false,2022-03-01,48.33,48.33,1,,0,0,0,0,0,0
Bcs3CbYx2EpbL9otxlEUmg==,game 3,uk,18,true,2022-03-01,89.22,89.22,1,2022-04-01,89.22,1,0,0,0,0
CCwTMcGtpirFFuqzSeTyaQ==,game 3,uk,18,false,2022-03-01,15.84,15.84,1,,0,0,0,0,0,0
iFFApiXZ2wPdS666BLpKZw==,game 3,uk,18,false,2022-03-01,26.85,26.85,1,,0,0,0,0,0,0
J6WNl39fdxaY8ZtvV8wNkw==,game 3,uk,18,true,2022-03-01,16.14,16.14,1,,0,0,0,0,0,0
NMmQVq8bB84KydONJjvTfQ==,game 3,uk,18,true,2022-03-01,15.33,15.33,1,2022-04-01,15.33,1,0,0,0,0
"4b7l8C489HEJirtoe7xtFg==",game 3,uk,20,true,2022-03-01,27.15,27.15,1,,0,0,0,0,0,0
"787jk0VnxM8/sv/0TkvO6A==",game 3,uk,20,false,2022-03-01,48.45,48.45,1,,0,0,0,0,0,0
HJccOn6v5KHqBa8wRu42oQ==,game 3,uk,20,false,2022-03-01,27.6,27.6,1,2022-04-01,27.6,1,0,0,0,0
jVhb69DTRT5TSWYEiUrlbg==,game 3,uk,20,false,2022-03-01,17.46,17.46,1,,0,0,0,0,0,0
XE2e8BsmBo72HxABlJmsRw==,game 3,uk,20,false,2022-03-01,38.16,38.16,1,2022-04-01,38.16,1,0,0,0,0
xiXTXOEbWU+HnGOUmgc9/w==,game 3,uk,20,false,2022-03-01,24.18,24.18,1,,0,0,0,0,0,0
o55dseByUOl9s5IQCz1kuQ==,game 3,uk,22,false,2022-03-01,23.16,23.16,1,,0,0,0,0,0,0
ZeMBdi9hmR0vUv+lyZiypQ==,game 3,uk,22,false,2022-03-01,25.41,25.41,1,2022-04-01,25.41,1,0,0,0,0
"72brUr/DKItStlTen5pHYg==",game 3,uk,24,false,2022-03-01,24.15,24.15,1,2022-04-01,24.15,1,0,0,0,0
A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,uk,24,false,2022-03-01,45.27,45.27,1,,0,0,0,0,0,0
zSepnWFgLH0tQb1s4mxKZQ==,game 3,uk,24,false,2022-03-01,23.01,23.01,1,,0,0,0,0,0,0
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,uk,25,false,2022-03-01,122.64,122.64,1,,0,0,0,0,0,0
s27V1tbCAysovKSY1XcdWQ==,game 3,uk,34,false,2022-03-01,22.95,22.95,1,,0,0,0,0,0,0
Veep00i4vvZbTAVD6GMoiA==,game 3,uk,38,false,2022-03-01,12.72,12.72,1,,0,0,0,0,0,0
ojVPXYZw2oeGtcmG7LcLGA==,game 3,en,20,false,2022-04-01,21.33,21.33,1,,0,0,0,0,0,0
"7zbxKst2yi3pfdVI8iEChw==",game 3,ru,15,false,2022-04-01,23.31,23.31,1,2022-05-01,23.31,1,0,0,0,0
l3sFUsG2qpcnrEzwRnjvtQ==,game 3,ru,15,false,2022-04-01,59.73,0,0,2022-05-01,59.73,1,0,0,21.63,0
"3iITAz/ADjFv3PDTgTjxSg==",game 3,ru,16,false,2022-04-01,81.42,0,0,,0,0,0,0,57.66,0
fCdEizmUtnjNYQLbx81H8g==,game 3,ru,16,false,2022-04-01,18.12,18.12,1,2022-05-01,18.12,1,0,0,0,0
HRBsRwGu5mkTvZBTNpA0tQ==,game 3,ru,17,false,2022-04-01,59.64,59.64,1,,0,0,0,0,0,0
ZmjMhgyYl6o8iFq964FEWg==,game 3,ru,17,false,2022-04-01,56.70,0,0,,0,0,0,0,2.10,0
BJlqmsfEshc/QjsD7VgEjg==,game 3,ru,18,false,2022-04-01,30.66,30.66,1,2022-05-01,30.66,1,0,0,0,0
eCd4MBHIR4qUWapg05TFLQ==,game 3,ru,18,false,2022-04-01,23.04,23.04,1,,0,0,0,0,0,0
F9Jtg6+0qPUKWDgBJxG8cA==,game 3,ru,18,false,2022-04-01,48.45,48.45,1,2022-05-01,48.45,1,0,0,0,0
K/6KHxREKTlFZXRfBNVNuQ==,game 3,ru,19,false,2022-04-01,41.46,41.46,1,,0,0,0,0,0,0
"2FYEYdoJMUOtbJ6TruruWA==",game 3,ru,20,false,2022-04-01,56.85,56.85,1,,0,0,0,0,0,0
"4btLP2zvi8eBV0t08fdkKQ==",game 3,ru,20,false,2022-04-01,125.97,0,0,,0,0,0,0,108.18,0
aQDvOXzsDAJWi3Y47ptRPg==,game 3,ru,20,false,2022-04-01,15.21,15.21,1,,0,0,0,0,0,0
nklUUkirU5GYU5ZtNOgx8w==,game 3,ru,20,true,2022-04-01,19.11,19.11,1,,0,0,0,0,0,0
TWDA+aUZ8OPMHOtz5cPPXA==,game 3,ru,20,false,2022-04-01,62.58,62.58,1,,0,0,0,0,0,0
gPRMy8HkmaiyX+13OxuP/A==,game 3,ru,21,false,2022-04-01,55.86,55.86,1,,0,0,0,0,0,0
xnLJlU804PSS9tXKmm7gZQ==,game 3,ru,21,true,2022-04-01,26.61,26.61,1,,0,0,0,0,0,0
"75lEf3nSWLSf6GncqhR9gQ==",game 3,ru,22,false,2022-04-01,65.97,0,0,,0,0,0,0,51.87,0
"7SeM1pmnTTTXfhI+x3ldng==",game 3,ru,22,false,2022-04-01,105.96,0,0,,0,0,0,0,71.22,0
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,ru,23,false,2022-04-01,114.15,0,0,,0,0,0,0,0,-44.52
B4b6v6eUHvAVOeAQk6EEiw==,game 3,ru,23,false,2022-04-01,63.60,0,0,2022-05-01,63.60,1,0,0,48.30,0
DorDcyqBWMg5IEaflqn5Xw==,game 3,ru,23,false,2022-04-01,50.16,50.16,1,,0,0,0,0,0,0
T+RA0/fgzbUBLF89D4AEDA==,game 3,ru,23,false,2022-04-01,45.48,0,0,2022-05-01,45.48,1,0,0,29.37,0
AN9at3LlvDamqXq8dvHD4w==,game 3,ru,24,false,2022-04-01,64.50,0,0,,0,0,0,0,22.47,0
Hamw6F2EZmJfI2glmE2NEg==,game 3,ru,24,true,2022-04-01,42.24,42.24,1,,0,0,0,0,0,0
pz7LUOs9i7xgncmHVxQvOw==,game 3,ru,24,false,2022-04-01,19.5,0,0,,0,0,0,0,0,-17.01
SyWxmJ+Ha8K2C9UJt8blVA==,game 3,ru,25,false,2022-04-01,16.8,0,0,2022-05-01,16.8,1,0,0,0,-38.82
V7J42heW8l19wiBJ8UpRyw==,game 3,ru,25,false,2022-04-01,36.84,0,0,,0,0,0,0,0,-12.96
Grpkzd4XIHh+ZbTMNxnUGg==,game 3,ru,30,false,2022-04-01,35.55,35.55,1,,0,0,0,0,0,0
"7GE5h/3N3lcro3K9T3aujw==",game 3,ru,32,false,2022-04-01,58.20,0,0,,0,0,0,0,19.68,0
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,ru,34,false,2022-04-01,12.03,12.03,1,,0,0,0,0,0,0
HZqx1XVZ1mb7lM9T61x+DA==,game 3,ru,43,false,2022-04-01,14.61,14.61,1,2022-05-01,14.61,1,0,0,0,0
GEAVJz1gd3SThbDZR01fcA==,game 3,uk,14,false,2022-04-01,87.36,87.36,1,,0,0,0,0,0,0
WAdVK2sJHdBL0bCFyVa0ww==,game 3,uk,14,false,2022-04-01,24.09,24.09,1,2022-05-01,24.09,1,0,0,0,0
b3TBQFxyCxxypmPajF+jXw==,game 3,uk,15,true,2022-04-01,14.82,0,0,,0,0,0,0,0.84,0
HxWcXHURvvtOJkrXAcDxQg==,game 3,uk,15,false,2022-04-01,82.53,0,0,,0,0,0,0,16.35,0
Y/nf8iBu/UCaNAuIRRjVwA==,game 3,uk,15,false,2022-04-01,20.43,0,0,,0,0,0,0,0,-3.84
dpfu6t8G4blqMn55KM8bSg==,game 3,uk,16,false,2022-04-01,33.03,33.03,1,,0,0,0,0,0,0
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,uk,16,false,2022-04-01,128.40,0,0,,0,0,0,0,111.27,0
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,uk,16,false,2022-04-01,57.72,0,0,,0,0,0,0,9.39,0
CCwTMcGtpirFFuqzSeTyaQ==,game 3,uk,18,false,2022-04-01,20.76,0,0,2022-05-01,20.76,1,0,0,4.92,0
iFFApiXZ2wPdS666BLpKZw==,game 3,uk,18,false,2022-04-01,49.92,0,0,2022-05-01,49.92,1,0,0,23.07,0
J6WNl39fdxaY8ZtvV8wNkw==,game 3,uk,18,true,2022-04-01,18.42,0,0,,0,0,0,0,2.28,0
hRkRI5YBVIH6bbqIDTbung==,game 3,uk,19,false,2022-04-01,67.26,67.26,1,,0,0,0,0,0,0
"4b7l8C489HEJirtoe7xtFg==",game 3,uk,20,true,2022-04-01,14.94,0,0,,0,0,0,0,0,-12.21
"787jk0VnxM8/sv/0TkvO6A==",game 3,uk,20,false,2022-04-01,53.49,0,0,,0,0,0,0,5.04,0
jVhb69DTRT5TSWYEiUrlbg==,game 3,uk,20,false,2022-04-01,58.44,0,0,,0,0,0,0,40.98,0
lCD23Awt3KotauWenCRr5w==,game 3,uk,20,false,2022-04-01,47.94,47.94,1,,0,0,0,0,0,0
xiXTXOEbWU+HnGOUmgc9/w==,game 3,uk,20,false,2022-04-01,99.84,0,0,,0,0,0,0,75.66,0
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,uk,21,true,2022-04-01,59.67,59.67,1,,0,0,0,0,0,0
Dbff3x5cRk6/tUY3WQdzFQ==,game 3,uk,21,false,2022-04-01,60.57,60.57,1,,0,0,0,0,0,0
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,uk,21,false,2022-04-01,26.28,26.28,1,,0,0,0,0,0,0
hkNuy6dTFIFcsQQfT5YkwQ==,game 3,uk,21,false,2022-04-01,20.25,20.25,1,2022-05-01,20.25,1,0,0,0,0
Lug+Yg90jslWgHEN6dc+Ng==,game 3,uk,21,false,2022-04-01,82.23,82.23,1,2022-05-01,82.23,1,0,0,0,0
o55dseByUOl9s5IQCz1kuQ==,game 3,uk,22,false,2022-04-01,86.88,0,0,,0,0,0,0,63.72,0
ShEJVi+TtuQlvdw2uetd/Q==,game 3,uk,22,false,2022-04-01,131.97,131.97,1,,0,0,0,0,0,0
ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,uk,22,false,2022-04-01,42.18,42.18,1,,0,0,0,0,0,0
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,uk,23,false,2022-04-01,54.96,54.96,1,,0,0,0,0,0,0
DqezK7HAqZ+GovyRuzxD1A==,game 3,uk,23,false,2022-04-01,83.19,83.19,1,,0,0,0,0,0,0
Wua5DlzLb2yNeSrcG9Xi3g==,game 3,uk,23,false,2022-04-01,59.85,59.85,1,,0,0,0,0,0,0
A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,uk,24,false,2022-04-01,13.95,0,0,2022-05-01,13.95,1,0,0,0,-31.32
nPrRQwP3UZo2KBlM2mJ8fg==,game 3,uk,24,false,2022-04-01,31.68,31.68,1,,0,0,0,0,0,0
zSepnWFgLH0tQb1s4mxKZQ==,game 3,uk,24,false,2022-04-01,71.52,0,0,,0,0,0,0,48.51,0
ilnMSoPJHAYMegDX02XG+w==,game 3,uk,25,false,2022-04-01,54.03,54.03,1,,0,0,0,0,0,0
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,uk,25,false,2022-04-01,56.16,0,0,,0,0,0,0,0,-66.48
orbgZNBGuhZZx63HTAbyIw==,game 3,uk,25,false,2022-04-01,62.13,62.13,1,,0,0,0,0,0,0
OwODWxXcsV4bBnhONiLkwg==,game 3,uk,25,false,2022-04-01,14.37,14.37,1,2022-05-01,14.37,1,0,0,0,0
iFnn4bfYgNs8OS5MCcLjeA==,game 3,uk,28,false,2022-04-01,18.39,18.39,1,2022-05-01,18.39,1,0,0,0,0
"7luG+f1d+Ri4AjeMbFR1Xw==",game 3,uk,29,false,2022-04-01,16.92,16.92,1,2022-05-01,16.92,1,0,0,0,0
H2Tik+BqoLgAQX4uSw/8vA==,game 3,uk,30,false,2022-04-01,14.34,14.34,1,,0,0,0,0,0,0
s27V1tbCAysovKSY1XcdWQ==,game 3,uk,34,false,2022-04-01,39.48,0,0,,0,0,0,0,16.53,0
Veep00i4vvZbTAVD6GMoiA==,game 3,uk,38,false,2022-04-01,48.33,0,0,2022-05-01,48.33,1,0,0,35.61,0
QZBiEFECZAgVl5IkN9/cFw==,game 3,en,16,false,2022-05-01,91.17,91.17,1,,0,0,0,0,0,0
ojVPXYZw2oeGtcmG7LcLGA==,game 3,en,20,false,2022-05-01,75.90,0,0,,0,0,0,0,54.57,0
zmZPan/KZoyrIR2r/SvLdA==,game 3,ru,15,false,2022-05-01,133.14,133.14,1,2022-06-01,133.14,1,0,0,0,0
"3iITAz/ADjFv3PDTgTjxSg==",game 3,ru,16,false,2022-05-01,15.69,0,0,,0,0,0,0,0,-65.73
b6lW5fOrJiJUE7dwhEp9VQ==,game 3,ru,17,false,2022-05-01,94.11,94.11,1,,0,0,0,0,0,0
HRBsRwGu5mkTvZBTNpA0tQ==,game 3,ru,17,false,2022-05-01,20.85,0,0,2022-06-01,20.85,1,0,0,0,-38.79
LWAxWBdiFs/25YxI4ZGthA==,game 3,ru,17,true,2022-05-01,86.46,86.46,1,,0,0,0,0,0,0
Uen3Ap0lnrgWVWJtFCSo7g==,game 3,ru,17,false,2022-05-01,47.88,0,0,,0,0,47.88,1,0,0
wDXJbTe2RLmAMKsPm5zZDg==,game 3,ru,17,false,2022-05-01,74.01,74.01,1,,0,0,0,0,0,0
